,,,,,,
,Line ID,Script,Length,,,
,324,Sarva-Papa Vishu-Ddhatma Yati Bramha Sana-Tanam,47,,,
,325,Na Vasu-Deva Bhakta-Nam Ashubham Vidyate Kvachit,48,,,
,326,Janma Mrithyu Jara Vyadhi Bhayam Naivapa Jayate,47,,,
,327,Emam Stava Madhee-Yanah Shraddha-Bhakti Sama-Nvitah,51,,,
,328,Yujye Tatam Sukha-Kshantih Shree-Dhrati Smruti Keertibhih,57,,,
,329,Na Krodho Na Matsaryam Na Lobho Na Shubha-Matih,47,,,
,330,Bhavanti Kruta Punyanam Bhakta-Nam Puru-Shottame,48,,,
,331,Dhyou Sachan-Drarka Nakshatra Kham Disho Bhoorma-Hodadhih,57,,,
,332,Vasu-Devasya Veeryena Vidhrutani Mahat-Manah,44,,,
,333,Sa-Sura-Sura Gandharvam Sa-Yaksho-Raga Raksha-Sam,49,,,
,334,Jaga-Dvashe Varta-Tedam Krishnasya Sachara-Charam,49,,,
,335,Indri-Yani Mano-Buddhih Satvam Tejo-Balam Dhrutih|,50,,,
,336,Vasu-Devatma Kanyahuh Kshetram-Kshetragyna Eva Cha,50,,,
,337,Sarva-Gamana Macharah Prathamam Pari-Kalpate,44,,,
,338,Aachara Prabhavo Dharmo Dharmasya Pradhu-Rachyutah,50,,,
,339,Rushayah Pitaro Devah Maha-Bhootani Dhatavah |,46,,,
,340,Jangama-Jangamam Chedam Jagannaraya-Nodbhavam,45,,,
,341,Yogo Gynanam Tatha Sankhyam Vidya Shilpadi Karma-Cha,52,,,
,342,Vedah Shasthrani Vigynana Etat-Sarvam Janar-Danat,49,,,
,343,Eko-Vishnu Rmaha-Dbhootam Prutha-Gbhoota Nyanekasah,51,,,
,344,Trilon-Lokan-Vyapya-- Bhootatma Bhujkte Vishva-Bhugavyayah,58,,,
,345,Emam Stavam Bhagavato Vishnor-Vyasena Keertitam,47,,,
,346,Pathedya Echhet Purushah Shreyah Praptum Sukhani-Cha,52,,,
,347,Vishve-Shvara Majam Devam Jagatah Prabhu Mavyam,47,,,
,348,Bhajanti Ye Pushka-Raksham Nate Yanti Para-Bhavam,49,,,
,349,Na Te Yanti Para-Bhavam Om Nama Iti,35,,,
,350,Arjuna Uvacha,13,,,
,351,Padma-Patra Visha-Laksha Padma-Nabha Suro-Ttama,47,,,
,352,Bhaktana Manu-Raktanam Trata Bhava Janar-Dana,45,,,
,353,Shree Bhagavan Uvacha,21,,,
,354,Yo-Mam Nama Saha-Srena Stotu Michhati Pandava,45,,,
,355,Sho Ha Mekena Shlokena Stuta Eva Na Samshayah,45,,,
,356,Stita Eva Na Samshaya Om Nama Iti,33,,,
,357,Vyasa Uvacha,12,,,
,358,Vasa-Naad Vasu Devsaya Vasitham Te Jaga-Thrayam,47,,,
,359,Sarva-Butha Nivaso Si Vaasu-Deva Namo Stute,43,,,
,360,Vasu-Deva Namostute Om Nama Iti,31,,,
,361,Parvati Uyvachv,15,,,
